INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT																																																																																																							
≥ËŒÔ±‡∫≈	√˚≥∆$1$	≥ËŒÔ¿‡–Õ	ø…–Ø¥¯µ»º∂	’Û”™	 «∑Ò±‰“Ï	 «∑Ò±¶±¶	 ≥ŒÔ¿‡	À˘ƒ‹—ßµƒººƒ‹ ˝	÷˜∂Øººƒ‹	÷˜∂Øººƒ‹…˙≥…º∏¬ £®1/100w£©	÷˜∂Øººƒ‹2	÷˜∂Øººƒ‹2…˙≥…º∏¬ £®1/100w£©	±ª∂Øººƒ‹1	±ª∂Øººƒ‹1…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹2	±ª∂Øººƒ‹2…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹3	±ª∂Øººƒ‹3…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹4	±ª∂Øººƒ‹4…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹5	±ª∂Øººƒ‹5…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹6	±ª∂Øººƒ‹6…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹7	±ª∂Øººƒ‹7…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹8	±ª∂Øººƒ‹8…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹9	±ª∂Øººƒ‹9…˙≥…º∏¬ £®1/100W£©	±ª∂Øººƒ‹10	±ª∂Øººƒ‹10…˙≥…º∏¬ £®1/100W£©	±Í◊º Ÿ√¸	±Í◊º¡¶¡ø◊ ÷ 	±Í◊ºÃÂ÷ ◊ ÷ 	±Í◊º¡È∆¯◊ ÷ 	±Í◊º…Ì∑®◊ ÷ 	±Í◊º∂®¡¶◊ ÷ 	≥…≥§¬ 1	≥…≥§¬ 2	≥…≥§¬ 3	≥…≥§¬ 4	≥…≥§¬ 5	µ®–°(1/1000)	Ω˜…˜(1/1000)	÷“≥œ(1/1000)	æ´√˜(1/1000)	”¬√Õ(1/1000)	∑±÷≥ ±º‰£®∫¡√Î£©	Õ¨¿‡≤Œøº’‰ ﬁ¿‡–Õ																																																																																																							
558	∆Æ∆Æ—º	298	1	9	1	0	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	500	500	500	500	500	500	550	575	650	750	900	50	20	20	10	60000	558	1	558																																																																																																					
559	∆Æ∆ÆÕ√	299	1	9	1	0	100	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	500	500	500	500	500	500	550	575	650	750	900	50	20	20	10	60000	559	1	559																																																																																																					
3000	≥…ƒÍÕ√◊”	300	5	9	0	0	100	10	688	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	60000	3000	9	3000																																																																																																					
3001	±‰“ÏÕ√◊”	300	5	9	1	0	100	10	688	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	742	848	1379	848	1166	540	594	621	702	810	150	800	20	20	10	60000	3000	1	3000																																																																																																					
3009	Õ√◊”±¶±¶	300	5	9	0	1	100	10	688	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	571	652	1060	652	897	540	594	621	702	810	150	800	20	20	10	60000	3000	0	3000																																																																																																					
3010	≥…ƒÍ—‡◊”	301	5	9	0	0	11	10	739	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	60000	3010	9	3010																																																																																																					
3011	±‰“Ï—‡◊”	301	5	9	1	0	11	10	739	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1060	954	848	1379	742	540	594	621	702	810	10	20	800	20	150	60000	3010	1	3010																																																																																																					
3019	—‡◊”±¶±¶	301	5	9	0	1	11	10	739	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	816	734	652	1060	571	540	594	621	702	810	10	20	800	20	150	60000	3010	0	3010																																																																																																					
3020	≥…ƒÍŒ⁄πÍ	302	5	9	0	0	1000	10	690	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	734	1060	652	652	734	540	594	621	702	810	800	150	20	20	10	60000	3020	9	3020																																																																																																					
